Date, Total New Cases, 7-day average
Jan 21 2020,0,0
Jan 22 2020,0,0
Jan 23 2020,0,0
Jan 24 2020,0,0
Jan 25 2020,1,0
Jan 26 2020,1,0
Jan 27 2020,0,0
Jan 28 2020,0,0
Jan 29 2020,0,0
Jan 30 2020,0,0
Jan 31 2020,1,0
Feb 01 2020,0,0
Feb 02 2020,3,0
Feb 03 2020,0,0
Feb 04 2020,0,0
Feb 05 2020,0,0
Feb 06 2020,0,0
Feb 07 2020,0,0
Feb 08 2020,0,0
Feb 09 2020,0,0
Feb 10 2020,1,0
Feb 11 2020,0,0
Feb 12 2020,0,0
Feb 13 2020,0,0
Feb 14 2020,0,0
Feb 15 2020,0,0
Feb 16 2020,0,0
Feb 17 2020,0,0
Feb 18 2020,0,0
Feb 19 2020,0,0
Feb 20 2020,1,0
Feb 21 2020,1,0
Feb 22 2020,0,0
Feb 23 2020,0,2
Feb 24 2020,2,2
Feb 25 2020,0,2
Feb 26 2020,15,2
Feb 27 2020,0,3
Feb 28 2020,1,3
Feb 29 2020,1,4
Mar 01 2020,5,4
Mar 02 2020,5,5
Mar 03 2020,7,7
Mar 04 2020,10,10
Mar 05 2020,12,19
Mar 06 2020,14,20
Mar 07 2020,19,22
Mar 08 2020,72,28
Mar 09 2020,7,36
Mar 10 2020,23,42
Mar 11 2020,50,54
Mar 12 2020,68,59
Mar 13 2020,61,79
Mar 14 2020,97,98
Mar 15 2020,110,116
Mar 16 2020,144,137
Mar 17 2020,161,166
Mar 18 2020,174,196
Mar 19 2020,216,236
Mar 20 2020,261,273
Mar 21 2020,307,327
Mar 22 2020,389,427
Mar 23 2020,404,518
Mar 24 2020,539,574
Mar 25 2020,877,638
Mar 26 2020,855,740
Mar 27 2020,651,848
Mar 28 2020,755,953
Mar 29 2020,1100,1018
Mar 30 2020,1162,1093
Mar 31 2020,1274,1175
Apr 01 2020,1333,1268
Apr 02 2020,1379,1277
Apr 03 2020,1227,1279
Apr 04 2020,1406,1312
Apr 05 2020,1159,1285
Apr 06 2020,1179,1256
