Date, Total New Cases, 7-day average
Jan 21 2020,0,0
Jan 22 2020,0,0
Jan 23 2020,0,0
Jan 24 2020,1,0
Jan 25 2020,1,0
Jan 26 2020,2,0
Jan 27 2020,0,0
Jan 28 2020,0,0
Jan 29 2020,0,0
Jan 30 2020,1,0
Jan 31 2020,1,0
Feb 01 2020,1,0
Feb 02 2020,3,1
Feb 03 2020,0,0
Feb 04 2020,0,0
Feb 05 2020,1,0
Feb 06 2020,0,0
Feb 07 2020,0,0
Feb 08 2020,0,0
Feb 09 2020,0,0
Feb 10 2020,1,0
Feb 11 2020,0,0
Feb 12 2020,1,0
Feb 13 2020,1,0
Feb 14 2020,0,1
Feb 15 2020,0,1
Feb 16 2020,0,1
Feb 17 2020,10,1
Feb 18 2020,0,2
Feb 19 2020,0,2
Feb 20 2020,2,2
Feb 21 2020,3,2
Feb 22 2020,0,2
Feb 23 2020,0,5
Feb 24 2020,13,4
Feb 25 2020,2,5
Feb 26 2020,15,5
Feb 27 2020,0,8
Feb 28 2020,5,8
Feb 29 2020,5,11
Mar 01 2020,18,14
Mar 02 2020,16,24
Mar 03 2020,21,35
Mar 04 2020,36,51
Mar 05 2020,67,94
Mar 06 2020,83,130
Mar 07 2020,117,162
Mar 08 2020,320,215
Mar 09 2020,270,285
Mar 10 2020,245,369
Mar 11 2020,405,453
Mar 12 2020,556,537
Mar 13 2020,674,698
Mar 14 2020,702,1012
Mar 15 2020,907,1532
Mar 16 2020,1399,2255
Mar 17 2020,2444,3090
Mar 18 2020,4043,4210
Mar 19 2020,5619,5571
Mar 20 2020,6516,6861
Mar 21 2020,8545,8603
Mar 22 2020,10432,10453
Mar 23 2020,10433,12126
Mar 24 2020,14634,14205
Mar 25 2020,16998,15630
Mar 26 2020,17330,17207
Mar 27 2020,21066,19217
Mar 28 2020,18520,20974
Mar 29 2020,21469,22791
Mar 30 2020,24506,24932
Mar 31 2020,26930,26937
Apr 01 2020,29717,27950
Apr 02 2020,32318,29300
Apr 03 2020,35099,30133
Apr 04 2020,25616,30831
Apr 05 2020,30916,31543
